Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Genre
2013,98,6.8,55243,3.45,Comedy
2014,102,7.9,237565,177,Action
2014,117,6.2,190833,58.61,Action
2015,95,6.7,12361,14.44,Comedy
2006,95,6.5,64351,7.77,Comedy
2011,106,6.6,187004,75.64,Drama
2015,133,6.4,17565,0.08,Drama
2007,96,7.2,117297,82.23,Drama
2009,122,6.7,33007,36.84,Drama
2016,156,7.5,17962,0.79,Drama
2012,103,6.6,257395,85.02,Action
2006,147,7.5,199387,2.21,Drama
2007,113,6.1,155078,70.08,Action
2010,97,6.4,67801,0.12,Action
2015,93,6.3,31651,3.64,Action
2009,102,6.4,152808,64.15,Comedy
2015,103,6.8,57921,27.29,Action
2006,154,6.1,246797,200.07,Action
2011,117,4.9,190244,281.28,Drama
2009,110,7.3,91623,47.54,Drama
2015,110,5.9,7475,0.02,Drama
2011,113,5.9,39380,51.78,Comedy
2014,107,6.8,92170,50.46,Drama
2016,120,6.2,4669,0.22,Comedy
2006,108,6.6,137502,148.21,Action
2010,96,6.8,64535,0.32,Comedy
2010,124,4.9,192740,300.52,Drama
2011,106,6.1,62095,13.99,Comedy
2013,119,6.4,132098,42,Action
2016,91,5.6,3990,0.03,Drama
2013,100,4.9,166512,60.52,Action
2016,80,6.1,2417,0.15,Action
2015,105,7.8,92076,6.74,Comedy
2011,115,7.3,211348,82.62,Comedy
2010,146,4.3,62403,95.33,Comedy
2013,95,7.2,65653,1.29,Comedy
2008,105,6.4,173731,36.06,Action
2014,94,6.2,81823,26.05,Comedy
2010,100,5.2,84158,40.17,Action
2012,109,7.7,192190,40.98,Drama
2014,117,6.2,73567,30.69,Action
2006,110,7.8,271940,22.49,Drama
2013,101,7,97141,2.32,Drama
2015,101,5.9,10220,0.01,Drama
2008,115,6.7,88260,26.81,Drama
2012,123,5.9,64513,38.51,Comedy
2016,124,7.4,6753,8.81,Drama
2016,94,6,20966,59.57,Comedy
2011,120,7.6,108772,3.19,Drama
2016,109,7,12048,61.69,Drama
2014,118,5.3,27312,85.91,Comedy
2007,133,7.4,95172,24.34,Drama
2014,104,6.5,112729,82.39,Comedy
2015,111,6.8,21405,42.65,Action
2011,102,5.6,87904,21.56,Comedy
2014,104,6.3,33688,23.39,Drama
2009,92,6.6,129708,45.8,Action
2007,165,8.5,102697,1.2,Drama
2010,97,5.9,140900,60.13,Action
2012,88,6.7,164088,54.72,Comedy
2008,98,6.2,70699,58.01,Drama
2016,87,5.3,12435,19.64,Comedy
